ID,Type,SubType,Price,NetHabitableSurface(msq),BedroomCount,Province,Locality,Region,PostCode,Floor,RegionCode,BuildingCondition,ConstructionYear,FacadeCount,HasBalcony,HasGarden,KitchenType,Status
10153220,HOUSE,HOUSE,477000.0,278.0,3.0,Antwerp,Olen,Flanders,2250,2.0,FLANDERS,,2023.0,3.0,0.0,1.0,3,1
10153221,HOUSE,HOUSE,485000.0,173.0,3.0,Antwerp,Lille,Flanders,2275,2.0,FLANDERS,,2022.0,3.0,0.0,1.0,1,1
10153224,HOUSE,HOUSE,477000.0,278.0,3.0,Antwerp,Olen,Flanders,2250,2.0,FLANDERS,,2023.0,3.0,0.0,1.0,3,1
10153225,HOUSE,HOUSE,449000.0,290.0,3.0,Antwerp,Olen,Flanders,2250,2.0,FLANDERS,,2023.0,3.0,0.0,1.0,3,1
10153227,HOUSE,HOUSE,485000.0,173.0,3.0,Antwerp,Lille,Flanders,2275,2.0,FLANDERS,,2022.0,3.0,0.0,1.0,1,1
10153229,HOUSE,HOUSE,439500.0,242.0,5.0,West Flanders,Izegem,Flanders,8870,2.0,FLANDERS,TO_BE_DONE_UP,1979.0,1.0,0.0,1.0,1,0
10153230,HOUSE,HOUSE,497000.0,200.0,3.0,West Flanders,Hulste,Flanders,8531,2.0,FLANDERS,AS_NEW,1976.0,1.0,0.0,1.0,1,0
10153231,APARTMENT,DUPLEX,430000.0,115.0,3.0,East Flanders,Gent,Flanders,9000,2.0,FLANDERS,,,1.0,0.0,1.0,0,0
10153233,HOUSE,HOUSE,260000.0,140.0,3.0,Namur,Namur,Wallonie,5100,2.0,WALLONIE,TO_RENOVATE,,4.0,0.0,1.0,0,0
10153236,HOUSE,HOUSE,150000.0,75.0,3.0,Liège,Lambermont,Wallonie,4800,2.0,WALLONIE,,,2.0,0.0,1.0,1,0
10153238,HOUSE,HOUSE,320000.0,150.0,3.0,Flemish Brabant,Dilbeek,Flanders,1700,2.0,FLANDERS,,1956.0,2.0,0.0,1.0,1,0
10153239,HOUSE,HOUSE,339000.0,120.0,3.0,Brussels,Jette,Brussels,1090,2.0,BRUSSELS,,,2.0,0.0,1.0,1,0
10153242,APARTMENT,APARTMENT,235000.0,85.0,3.0,Brussels,Ganshoren,Brussels,1083,10.0,BRUSSELS,,1976.0,4.0,0.0,0.0,1,0
10153244,HOUSE,HOUSE,449000.0,188.0,4.0,Antwerp,Merksem,Flanders,2170,2.0,FLANDERS,GOOD,1998.0,3.0,0.0,1.0,3,0
10153246,APARTMENT,APARTMENT,379000.0,110.0,2.0,Brussels,Schaerbeek,Brussels,1030,3.0,BRUSSELS,TO_RENOVATE,1961.0,2.0,0.0,0.0,0,0
10153247,APARTMENT,APARTMENT,379000.0,110.0,2.0,Brussels,WOLUWE-SAINT-LAMBERT,Brussels,1200,3.0,BRUSSELS,TO_RENOVATE,1961.0,2.0,0.0,0.0,0,0
